certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Certified Fresh,85,"User Ratings: 197,042",87%,Chasing Amy,83%
Certified Fresh,52,"User Ratings: 2,913",94%,Ulee's Gold,75%
Certified Fresh,66,"User Ratings: 34,457",85%,The Ice Storm,82%
DNE,N/A,User Ratings: 124,,Fire Down Below,29%
Rotten,14,"User Ratings: 6,619",43%,That Old Feeling,60%
Rotten,15,"User Ratings: 15,362",13%,That Darn Cat,23%
Rotten,27,"User Ratings: 17,163",4%,Gone Fishin',37%
Rotten,12,"User Ratings: 21,838",25%,Booty Call,59%
Rotten,36,"User Ratings: 55,591",8%,The Postman,50%
Certified Fresh,48,"User Ratings: 8,125",90%,The Apostle,79%
Rotten,23,"User Ratings: 8,137",30%,Red Corner,48%
DNE,N/A,User Ratings: 11,,Hoodlum,20%
Rotten,38,"User Ratings: 55,274",32%,Good Burger,63%
Rotten,35,"User Ratings: 37,113",49%,Midnight in the Garden of Good and Evil,65%
Fresh,39,"User Ratings: 46,008",62%,Mimic,37%
Rotten,33,"User Ratings: 40,569",33%,Murder at 1600,42%
Rotten,29,"User Ratings: 78,657",7%,An American Werewolf in Paris,30%
Rotten,74,"User Ratings: 67,862",27%,Event Horizon,61%
Rotten,22,"User Ratings: 347,272",45%,Air Bud,38%
Rotten,30,"User Ratings: 35,935",7%,Mr. Magoo,24%
Rotten,22,"User Ratings: 8,473",36%,Out to Sea,52%
Fresh,58,"User Ratings: 195,114",72%,Romy and Michele's High School Reunion,65%
Rotten,28,"User Ratings: 63,047",32%,Fools Rush In,64%
Rotten,21,"User Ratings: 44,204",14%,For Richer or Poorer,46%
Rotten,32,"User Ratings: 26,741",34%,The Relic,34%
Fresh,50,"User Ratings: 43,232",64%,The Edge,70%
Rotten,33,"User Ratings: 36,048",55%,Addicted to Love,50%
Fresh,46,"User Ratings: 166,855",65%,Selena,77%
Rotten,59,"User Ratings: 17,053",25%,Fathers' Day,25%
Rotten,30,"User Ratings: 54,613",13%,Vegas Vacation,51%
Rotten,28,"User Ratings: 309,902",14%,Beverly Hills Ninja,53%
Rotten,19,"User Ratings: 38,965",16%,Money Talks,71%
DNE,N/A,"User Ratings: 1,563",,Private Parts,54%
Certified Fresh,72,"User Ratings: 189,384",93%,Boogie Nights,89%
Certified Fresh,42,"User Ratings: 20,813",81%,Soul Food,86%
Rotten,34,"User Ratings: 159,919",53%,G.I. Jane,53%
Rotten,44,"User Ratings: 32,338",48%,Absolute Power,52%
DNE,N/A,Ratings: Not yet available,,Breakdown,
Rotten,43,"User Ratings: 88,201",2%,Mortal Kombat: Annihilation,25%
Certified Fresh,65,"User Ratings: 51,137",77%,Amistad,79%
Rotten,42,"User Ratings: 193,998",19%,Jungle 2 Jungle,33%
Rotten,31,"User Ratings: 60,696",29%,Kiss The Girls,62%
Rotten,31,"User Ratings: 186,989",42%,Mouse Hunt,49%
Certified Fresh,63,"User Ratings: 51,265",75%,Cop Land,67%
Certified Fresh,75,"User Ratings: 44,573",85%,Wag the Dog,76%
DNE,N/A,User Ratings: 320,,TBS (Nothing to Lose),73%
Certified Fresh,57,"User Ratings: 204,076",88%,Donnie Brasco,89%
Fresh,62,"User Ratings: 848,233",71%,Austin Powers: International Man of Mystery,77%
Certified Fresh,83,"User Ratings: 215,230",87%,Jackie Brown,85%
DNE,N/A,Ratings: Not yet available,,Game,
Fresh,50,"User Ratings: 38,943",72%,In & Out,52%
Rotten,45,"User Ratings: 186,112",18%,Spawn,36%
Fresh,5,User Ratings: 7,80%,Volcano,86%
Fresh,63,"User Ratings: 224,229",63%,Starship Troopers,70%
